Kind,Name,AvgCyclomatic,MaxCyclomatic,SumCyclomatic,CountClassCoupled,MaxInheritanceTree,PercentLackOfCohesion
Unnamed Function,(unnamed+AF8-function+AF8-1).(unnamed+AF8-function+AF8-2).(unnamed+AF8-function+AF8-4).(unnamed+AF8-function+AF8-7).(unnamed+AF8-function+AF8-8),,,2,,,
Unnamed Function,(unnamed+AF8-function+AF8-1).(unnamed+AF8-function+AF8-2).(unnamed+AF8-function+AF8-4).(unnamed+AF8-function+AF8-7).(unnamed+AF8-function+AF8-9),,,6,,,
Function,(unnamed+AF8-function+AF8-1).(unnamed+AF8-function+AF8-2).(unnamed+AF8-function+AF8-4).g,,,3,,,
Unnamed Function,(unnamed+AF8-function+AF8-1).(unnamed+AF8-function+AF8-2).(unnamed+AF8-function+AF8-4).g.(unnamed+AF8-function+AF8-5),,,2,,,
Function,(unnamed+AF8-function+AF8-1).(unnamed+AF8-function+AF8-2).A,,,12,,,
Function,(unnamed+AF8-function+AF8-1).(unnamed+AF8-function+AF8-2).D,,,3,,,
Function,(unnamed+AF8-function+AF8-1).(unnamed+AF8-function+AF8-2).E,,,3,,,
Class Function,(unnamed+AF8-function+AF8-1).(unnamed+AF8-function+AF8-2).Parser,,,1,,,
Function,(unnamed+AF8-function+AF8-1).(unnamed+AF8-function+AF8-2).abortXHR,,,2,,,
Function,(unnamed+AF8-function+AF8-1).(unnamed+AF8-function+AF8-2).array+AF8-keys,,,0,,,
Function,(unnamed+AF8-function+AF8-1).(unnamed+AF8-function+AF8-2).array+AF8-keys,,,4,,,
Function,(unnamed+AF8-function+AF8-1).(unnamed+AF8-function+AF8-2).array+AF8-values,,,0,,,
Function,(unnamed+AF8-function+AF8-1).(unnamed+AF8-function+AF8-2).array+AF8-values,,,4,,,
Function,(unnamed+AF8-function+AF8-1).(unnamed+AF8-function+AF8-2).cachePop,,,3,,,
Function,(unnamed+AF8-function+AF8-1).(unnamed+AF8-function+AF8-2).cachePush,,,1,,,
Function,(unnamed+AF8-function+AF8-1).(unnamed+AF8-function+AF8-2).cloneContents,,,3,,,
Unnamed Function,(unnamed+AF8-function+AF8-1).(unnamed+AF8-function+AF8-2).cloneContents.(unnamed+AF8-function+AF8-7),,,2,,,
Function,(unnamed+AF8-function+AF8-1).(unnamed+AF8-function+AF8-2).disable,,,3,,,
Function,(unnamed+AF8-function+AF8-1).(unnamed+AF8-function+AF8-2).e,,,5,,,
Function,(unnamed+AF8-function+AF8-1).(unnamed+AF8-function+AF8-2).e,,,2,,,
Function,(unnamed+AF8-function+AF8-1).(unnamed+AF8-function+AF8-2).e,,,3,,,
Function,(unnamed+AF8-function+AF8-1).(unnamed+AF8-function+AF8-2).e,,,3,,,
Function,(unnamed+AF8-function+AF8-1).(unnamed+AF8-function+AF8-2).e,,,3,,,
Function,(unnamed+AF8-function+AF8-1).(unnamed+AF8-function+AF8-2).e,,,3,,,
Function,(unnamed+AF8-function+AF8-1).(unnamed+AF8-function+AF8-2).e,,,3,,,
Function,(unnamed+AF8-function+AF8-1).(unnamed+AF8-function+AF8-2).e,,,4,,,
Unnamed Function,(unnamed+AF8-function+AF8-1).(unnamed+AF8-function+AF8-2).e.(unnamed+AF8-function+AF8-3),,,2,,,
Unnamed Function,(unnamed+AF8-function+AF8-1).(unnamed+AF8-function+AF8-2).e.(unnamed+AF8-function+AF8-4),,,1,,,
Unnamed Function,(unnamed+AF8-function+AF8-1).(unnamed+AF8-function+AF8-2).e.(unnamed+AF8-function+AF8-5),,,1,,,
Function,(unnamed+AF8-function+AF8-1).(unnamed+AF8-function+AF8-2).enable,,,1,,,
Public Method,(unnamed+AF8-function+AF8-1).(unnamed+AF8-function+AF8-2).errorLoading,,,1,,,
Public Method,(unnamed+AF8-function+AF8-1).(unnamed+AF8-function+AF8-2).errorLoading,,,1,,,
Public Method,(unnamed+AF8-function+AF8-1).(unnamed+AF8-function+AF8-2).errorLoading,,,1,,,
Public Method,(unnamed+AF8-function+AF8-1).(unnamed+AF8-function+AF8-2).errorLoading,,,1,,,
Public Method,(unnamed+AF8-function+AF8-1).(unnamed+AF8-function+AF8-2).errorLoading,,,1,,,
Public Method,(unnamed+AF8-function+AF8-1).(unnamed+AF8-function+AF8-2).errorLoading,,,1,,,
Public Method,(unnamed+AF8-function+AF8-1).(unnamed+AF8-function+AF8-2).errorLoading,,,1,,,
Public Method,(unnamed+AF8-function+AF8-1).(unnamed+AF8-function+AF8-2).errorLoading,,,1,,,
Public Method,(unnamed+AF8-function+AF8-1).(unnamed+AF8-function+AF8-2).errorLoading,,,1,,,
Public Method,(unnamed+AF8-function+AF8-1).(unnamed+AF8-function+AF8-2).errorLoading,,,1,,,
Public Method,(unnamed+AF8-function+AF8-1).(unnamed+AF8-function+AF8-2).errorLoading,,,1,,,
Public Method,(unnamed+AF8-function+AF8-1).(unnamed+AF8-function+AF8-2).errorLoading,,,1,,,
Public Method,(unnamed+AF8-function+AF8-1).(unnamed+AF8-function+AF8-2).errorLoading,,,1,,,
Public Method,(unnamed+AF8-function+AF8-1).(unnamed+AF8-function+AF8-2).errorLoading,,,1,,,
Public Method,(unnamed+AF8-function+AF8-1).(unnamed+AF8-function+AF8-2).errorLoading,,,1,,,
Public Method,(unnamed+AF8-function+AF8-1).(unnamed+AF8-function+AF8-2).errorLoading,,,1,,,
Public Method,(unnamed+AF8-function+AF8-1).(unnamed+AF8-function+AF8-2).errorLoading,,,1,,,
Public Method,(unnamed+AF8-function+AF8-1).(unnamed+AF8-function+AF8-2).errorLoading,,,1,,,
