Kind,Name,AvgCyclomatic,MaxCyclomatic,SumCyclomatic,CountClassCoupled,MaxInheritanceTree,PercentLackOfCohesion
File,/home/teo/Documents/Stage/StageT/projects/GMS/R6/grocery+AC0-micro+AC0-service/grocery+AC0-micro+AC0-service+AC0-admin/src/main/java/com/zxl/grocery/microservice/admin/rpc/service/PermissionService.java,2,4,19,,,
File,/home/teo/Documents/Stage/StageT/projects/GMS/R6/grocery+AC0-micro+AC0-service/grocery+AC0-micro+AC0-service+AC0-admin/src/main/java/com/zxl/grocery/microservice/admin/vo/AuthorityMenuTree.java,1,1,10,,,
File,/home/teo/Documents/Stage/StageT/projects/GMS/R6/grocery+AC0-micro+AC0-service/grocery+AC0-micro+AC0-service+AC0-admin/src/main/java/com/zxl/grocery/microservice/admin/vo/FrontUser.java,1,1,14,,,
File,/home/teo/Documents/Stage/StageT/projects/GMS/R6/grocery+AC0-micro+AC0-service/grocery+AC0-micro+AC0-service+AC0-admin/src/main/java/com/zxl/grocery/microservice/admin/vo/GroupTree.java,1,1,4,,,
File,/home/teo/Documents/Stage/StageT/projects/GMS/R6/grocery+AC0-micro+AC0-service/grocery+AC0-micro+AC0-service+AC0-admin/src/main/java/com/zxl/grocery/microservice/admin/vo/GroupUsers.java,1,1,6,,,
File,/home/teo/Documents/Stage/StageT/projects/GMS/R6/grocery+AC0-micro+AC0-service/grocery+AC0-micro+AC0-service+AC0-admin/src/main/java/com/zxl/grocery/microservice/admin/vo/MenuTree.java,1,1,23,,,
File,/home/teo/Documents/Stage/StageT/projects/GMS/R6/grocery+AC0-micro+AC0-service/grocery+AC0-micro+AC0-service+AC0-auth/grocery+AC0-micro+AC0-service+AC0-auth+AC0-client/src/main/java/com/zxl/grocery/microservice/auth/client/EnableGroceryAuthClient.java,0,0,0,,,
File,/home/teo/Documents/Stage/StageT/projects/GMS/R6/grocery+AC0-micro+AC0-service/grocery+AC0-micro+AC0-service+AC0-auth/grocery+AC0-micro+AC0-service+AC0-auth+AC0-client/src/main/java/com/zxl/grocery/microservice/auth/client/annotation/IgnoreClientToken.java,0,0,0,,,
File,/home/teo/Documents/Stage/StageT/projects/GMS/R6/grocery+AC0-micro+AC0-service/grocery+AC0-micro+AC0-service+AC0-auth/grocery+AC0-micro+AC0-service+AC0-auth+AC0-client/src/main/java/com/zxl/grocery/microservice/auth/client/annotation/IgnoreUserToken.java,0,0,0,,,
File,/home/teo/Documents/Stage/StageT/projects/GMS/R6/grocery+AC0-micro+AC0-service/grocery+AC0-micro+AC0-service+AC0-auth/grocery+AC0-micro+AC0-service+AC0-auth+AC0-client/src/main/java/com/zxl/grocery/microservice/auth/client/common/config/ServiceAuthConfig.java,1,2,10,,,
File,/home/teo/Documents/Stage/StageT/projects/GMS/R6/grocery+AC0-micro+AC0-service/grocery+AC0-micro+AC0-service+AC0-auth/grocery+AC0-micro+AC0-service+AC0-auth+AC0-client/src/main/java/com/zxl/grocery/microservice/auth/client/common/config/UserAuthConfig.java,1,1,5,,,
File,/home/teo/Documents/Stage/StageT/projects/GMS/R6/grocery+AC0-micro+AC0-service/grocery+AC0-micro+AC0-service+AC0-auth/grocery+AC0-micro+AC0-service+AC0-auth+AC0-client/src/main/java/com/zxl/grocery/microservice/auth/client/common/util/ServiceAuthUtil.java,2,4,13,,,
File,/home/teo/Documents/Stage/StageT/projects/GMS/R6/grocery+AC0-micro+AC0-service/grocery+AC0-micro+AC0-service+AC0-auth/grocery+AC0-micro+AC0-service+AC0-auth+AC0-client/src/main/java/com/zxl/grocery/microservice/auth/client/config/FeignOkHttpConfig.java,1,1,1,,,
